Food_Code;Display_Name;Portion_Default;Portion_Amount;Portion_Display_Name;Factor;Increment;Multiplier;Grains;Whole_Grains;Vegetables;Orange_Vegetables;Darkgreen_Vegetables;Starchy_Vegetables;Other_Vegetables;Fruits;Milk;Meats;Soy;Drybeans_Peas;Oils;Solid_Fats;Added_Sugars;Alcohol;Calories;Saturated_Fats
93401000;Table wine (all);2;.50000;carafe;.50000;.25000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;18.942.000;18.942.000;.00000
93401000;Table wine (all);2;.50000;bottle;100.000;.25000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;28.490.000;28.490.000;.00000
93401000;Table wine (all);2;100.000;small wine glass;100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;7.931.000;7.931.000;.00000
93402000;Dessert wine (all);1;100.000;small wine glass;100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;16.480.000;16.480.000;.00000
93402000;Dessert wine (all);2;400.000;fluid ounces;400.000;100.000;.25000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;18.880.000;18.880.000;.00000
93404000;Wine cooler;1;100.000;drink (drink = 7 fl oz);100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.06300;.00000;.00000;.00000;.00000;.00000;.00000;3.969.714;7.160.286;11.130.000;.00630
93404000;Wine cooler;2;800.000;fluid ounces (no ice);800.000;100.000;.12500;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.07200;.00000;.00000;.00000;.00000;.00000;.00000;4.536.816;8.183.184;12.720.000;.00720
93404500;Sangria;1;100.000;drink (drink = 8 fl oz);100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.15276;.00000;.00000;.00000;.00000;.00000;.00000;6.333.404;10.082.596;16.416.000;.01140
93404500;Sangria;2;800.000;fluid ounces (no ice);800.000;100.000;.12500;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.15544;.00000;.00000;.00000;.00000;.00000;.00000;6.444.516;10.259.484;16.704.000;.01160
93501000;Brandy or cognac;1;200.000;fluid ounces;200.000;100.000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;12.843.600;12.843.600;.00000
93502000;Whiskey (bourbon, scotch, rye);1;100.000;jigger (jigger = 1.5 oz);100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;10.500.000;10.500.000;.00000
93502000;Whiskey (bourbon, scotch, rye);2;200.000;fluid ounces;200.000;100.000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;14.000.000;14.000.000;.00000
93503000;Gin;1;100.000;jigger (jigger = 1.5 oz);100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;11.046.000;11.046.000;.00000
93503000;Gin;2;200.000;fluid ounces;200.000;100.000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;14.728.000;14.728.000;.00000
93504000;Rum;1;100.000;jigger (jigger = 1.5 oz);100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;9.702.000;9.702.000;.00000
93504000;Rum;2;200.000;fluid ounces;200.000;100.000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;12.843.600;12.843.600;.00000
93505000;Vodka or tequila;1;100.000;jigger (jigger = 1.5 oz);100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;9.702.000;9.702.000;.00000
93505000;Vodka or tequila;2;200.000;fluid ounces;200.000;100.000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;12.843.600;12.843.600;.00000
94000000;Water;1;100.000;cup;100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000
94000000;Water;2;200.000;fluid ounces;200.000;100.000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000
94210100;Fitness Water (Propel);1;100.000;cup (8 fl oz);100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;1.185.000;.00000;1.185.000;.00000
94210100;Fitness Water (Propel);2;100.000;bottle (16.9 fl oz);100.000;.25000;.25000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;2.500.000;.00000;2.500.000;.00000
94210100;Fitness Water (Propel);2;100.000;sports bottle (23.7 fl oz);100.000;.25000;.25000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;3.510.000;.00000;3.510.000;.00000
11411100;Plain yogurt, whole milk;2;100.000;ounce;.12500;100.000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.11577;.00000;.00000;.00000;.00000;808.262;.00000;.00000;1.730.875;.59588
11411300;Plain yogurt, fat free;2;100.000;ounce;.12500;100.000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.11577;.00000;.00000;.00000;.00000;.17621;.00000;.00000;1.589.000;.03405
11421000;Flavored yogurt, whole milk;2;100.000;ounce;.12500;100.000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.11577;.00000;.00000;.00000;.00000;789.109;901.199;.00000;2.865.875;.56750
11422000;Flavored yogurt, low fat;2;100.000;ounce;.12500;100.000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.11577;.00000;.00000;.00000;.00000;295.980;919.186;.00000;2.411.875;.22984
11424000;Flavored yogurt, fat-free sugar-free;2;100.000;ounce;.12500;100.000;100.000;.00114;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.11577;.00000;.00000;.00000;.00000;.25282;.00000;.00000;1.220.125;.03405
11431000;Fruit yogurt, whole milk;2;100.000;ounce;.16670;100.000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00963;.11560;.00000;.00000;.00000;.00000;804.525;1.520.670;.00000;3.371.667;.57800
